name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,fme_feature_type.total_count
Broomfield House Museum,Broomfield Park Palmers Green, ,N13,Enfield,http://www.broomfieldhouse.org/,207169245,E09000010,Palmers Green,E05013688,51.61844628,-0.11800416,530389.0155999996,192746.0019000005,54
Enfield Local Studies Library and Archive,First Floor Thomas Hardy House ,39 London Road ,EN2 6DS,Enfield,https://www.dugdalecentre.co.uk/page/local-studies-library-and-archive/,207007119,E09000010,Town,E05013693,51.65031766,-0.081118167,532849.2911,196356.66220000014,54
Artist Hive Studios,Pretoria Road North,,,Enfield,https://www.artisthivestudios.com/,207013560,E09000010,Upper Edmonton,E05013694,51.609075,-0.071608902,533628.2803999996,191787.69969999976,54
Dugdale  ,39 London Road,Enfield,EN2 6DS,Enfield,https://www.dugdalecentre.co.uk/,207007119,E09000010,Town,E05013693,51.65031766,-0.081118167,532849.2911,196356.66220000014,54
Odeon Lee Valley,,Picketts Lock Lane,N9 0AS,Enfield,,207190597,E09000010,Jubilee,E05013684,51.633191,-0.03726405,535934.2276999997,194532.83940000087,54
Cineworld Enfield ,Southbury Leisure Centre,208 Southbury Rd,EN1 1YQ,Enfield,www.cineworld.co.uk,207192143,E09000010,Southbury,E05013691,51.650084,-0.06090651,534248.1737000002,196367.6063000001,54
Artist Hive Studios,Pretoria Road North,,,Enfield,https://www.artisthivestudios.com/,207013560 ,E09000010,Upper Edmonton,E05013694,51.609075,-0.071608902,533628.2803999996,191787.69969999976,54
Mainyard Studios,58 Alexandra Road,,,Enfield,https://mainyardstudios.co.uk/enfield-maker-studios/,See notes,E09000010,Brimsdown,E05013674,51.65075,-0.03667,535922.8118000003,196486.53160000034,54
Millfield Arts Centre,Silver Street,Edmonton,,Enfield,https://www.millfieldtheatre.co.uk,207015826,E09000010,Haselbury,E05013682,51.61595447,-0.080219224,533012.0120999999,192537.0036999993,54
Chicken Shed,290 Chase Side,,,Enfield,http://www.chickenshed.org.uk,207078080,E09000010,Cockfosters,E05013678,51.64443614,-0.145241925,528430.0094999997,195588.00290000066,54
Intimate Theatre,516 Green Lanes,,,Enfield,http://www.smptheatre.co.uk/faqs/the-intimate-theatre/,207035876,E09000010,Winchmore Hill,E05013696,51.62419102,-0.10284236,531422.0148999998,193412.00139999948,54
The Artzone,54-56 Market Square,Edmonton,,Enfield,http://www.artzone.ie,207182000,E09000010,Edmonton Green,E05013679,51.62428,-0.05769,534547.0823999997,193504.07699999958,54
Chicken Shed,290 Chase Side,,,Enfield,http://www.chickenshed.org.uk,207078080,E09000010,Cockfosters,E05013678,51.64443614,-0.145241925,528430.0094999997,195588.00290000066,54
Intimate Theatre,516 Green Lanes,,,Enfield,http://www.smptheatre.co.uk/faqs/the-intimate-theatre/,207035876,E09000010,Winchmore Hill,E05013696,51.62419102,-0.10284236,531422.0148999998,193412.00139999948,54
Tower Garments London Ltd,Unit J,17 Queensway,,Enfield,http://www.towergarmentslondon.co.uk/,207182707,E09000010,Ponders End,E05013689,51.64717971,-0.049324679,535058.0038000001,196065.99640000053,54
Rize Designs Ltd,Unit 6B,186 Bridport Road,,Enfield,http://www.rizedesignslondon.com/,207014224,E09000010,Upper Edmonton,E05013694,51.61174999,-0.075529151,533349.0113000004,192078.0055999998,54
Fabrika,81a Pestoria Road,,,Enfield,http://fabrika.london/,207004104,E09000010,Upper Edmonton,E05013694,51.60981883,-0.070194757,533724.0115,191873.00430000015,54
Stockman London Ltd ,Unit F15 Hastingwood Trading Estate,Harbet Road,,Enfield,,207197494,E09000010,Upper Edmonton,E05013694,51.6084964,-0.03603631,536093.0142000001,191789.00320000015,54
Tripl Stitched,Unit J,17 Queensway,,Enfield,https://triplstitched.com,207182707,E09000010,Ponders End,E05013689,51.64717971,-0.049324679,535058.0038000001,196065.99640000053,54
De La Creme Ltd,"Unit 7M - 7N, Nobel Road",,,Enfield,https://delacremefashions.com,207179745,E09000010,Edmonton Green,E05013679,51.615189,-0.047025291,535312.2723000003,192512.83029999956,54
Daas Trading London Ltd,"12B Commercial Road, Edmonton, London, N18 1TP",,,Enfield,N/A,207194449,E09000010,Upper Edmonton,E05013694,51.609905,-0.072815843,533542.2780999998,191877.79309999943,54
Guney Dedsign,"Unit 10, 14 Bull Lane, Shaftesbury Industrial Esta",,,Enfield,N/A,207171612,E09000010,Upper Edmonton,E05013694,51.609861,-0.075648464,533346.2801999999,191867.72690000013,54
The Jewellery Display Co Ltd,Unit 25,Riverwalk Business Park,,Enfield,https://www.tjdc.co.uk/,207203504,E09000010,Brimsdown,E05013674,51.65010906,-0.022513492,536904.0449000001,196441.74210000038,54
Fore Street,,,,Enfield,,207015248,E09000010,Upper Edmonton,E05013694,51.61166506,-0.063707118,534167.7696000002,192090.20229999907,54
Angel Raynham,,,,Enfield,,207017246,E09000010,Upper Edmonton,E05013694,51.61259183,-0.059377369,534464.8081999999,192201.21979999915,54
Bowes Road,,,,Enfield,,207045509,E09000010,New Southgate,E05013686,51.61492809,-0.129038125,529635.1849999996,192335.1414999999,54
Palmers Green,,,,Enfield,,207015887,E09000010,Palmers Green,E05013688,51.61508369,-0.109010668,531021.2889999999,192388.14650000073,54
Millfield House,,,,Enfield,,207180891,E09000010,Haselbury,E05013682,51.61589454,-0.079736045,533045.6374000004,192531.21910000034,54
Edmonton Green,,,,Enfield,,207189578,E09000010,Lower Edmonton,E05013685,51.62339871,-0.056459901,534634.8344999999,193408.34080000035,54
Winchmore Hill,,,,Enfield,,207036897,E09000010,Highfield,E05013683,51.62790941,-0.096829091,531827.4518999998,193836.3376000002,54
Southgate Circus,,,,Enfield,,207180633,E09000010,Southgate,E05013692,51.62989232,-0.126731632,529752.1550000003,194003.33819999918,54
Ridge Avenue,,,,Enfield,,207111058,E09000010,Bush Hill Park,E05013676,51.63568138,-0.080359974,532944.5667000003,194730.44959999993,54
John Jackson,,,,Enfield,,207040251,E09000010,Southbury,E05013691,51.64493374,-0.064906253,533986.6628999999,195787.53779999912,54
Ponders End,,,,Enfield,,207000261,E09000010,Ponders End,E05013689,51.64472766,-0.045949157,535298.8301999997,195799.58249999955,54
Oakwood,,,,Enfield,,207148238,E09000010,Oakwood,E05013687,51.64834202,-0.127561284,529642.1266999999,196053.56799999997,54
Enfield Town,,,,Enfield,,207011262,E09000010,Town,E05013693,51.65119271,-0.084620218,532604.4764999999,196447.61480000056,54
Enfield Highway,,,,Enfield,,207035798,E09000010,Brimsdown,E05013674,51.65843232,-0.045865671,535263.8262999998,197323.72000000067,54
Enfield Island Village,,,,Enfield,,207193973,E09000010,Enfield Lock,E05013680,51.66794853,-0.014837634,537381.1144000003,198439.89120000042,54
Ordnance Unity Centre,,,,Enfield,,207144176,E09000010,Enfield Lock,E05013680,51.67157982,-0.037720477,535787.9117,198800.8953000009,54
Bullsmoor,,,,Enfield,,207178047,E09000010,Bullsmoor,E05013675,51.67592229,-0.047890153,535071.8165999996,199264.94639999978,54
Building Bloqs,Building Bloqs Meridian Works,Meridian Works,Silver St,Enfield,buildingbloqs.wordpress.com/,207188012,E09000010,Town,E05013693,51.65451498,-0.079701642,532935.0111999996,196826.00200000033,54
Museum of Enfield,Enfield Museum,The Dugdale Centre Thomas Hardy House,39 London Road,Enfield,http://www.enfield.gov.uk/museum,207007119,E09000010,Town,E05013693,51.64982039,-0.079527242,532960.8011999996,196304.25510000065,54
Box H9,Unit H9; Hastingwood Trading Estate; N18 3HT,,,Enfield,,,E09000010,Upper Edmonton,E05013694,51.609343,-0.035967,536095.2828000002,191883.27679999918,54
The Drumsheds,"Meridian Water, Argon Road, Enfield, N18 3BW",Argon Road,Meridian Water,Enfield,https://thedrumshedslondon.co.uk/,,E09000010,Upper Edmonton,E05013694,51.609219984,-0.042920038,535614.2423,191856.6741000004,54
Box H9,Unit H9; Hastingwood Trading Estate; N18 3HT,,,Enfield,,,E09000010,Upper Edmonton,E05013694,51.609343,-0.035967,536095.2828000002,191883.27679999918,54
The Drumsheds,"Meridian Water, Argon Road, Enfield, N18 3BW",Argon Road,Meridian Water,Enfield,https://thedrumshedslondon.co.uk/,,E09000010,Upper Edmonton,E05013694,51.609219984,-0.042920038,535614.2423,191856.6741000004,54
Building BloQs,4 Anthony Way,,,Enfield,http://buildingbloqs.com,207197342,E09000010,Upper Edmonton,E05013694,51.60814691,-0.037077531,536021.9659000002,191748.20069999993,54
Lemon Head Prints,"Fred Perry Bldg, 186 Bridport Rd",,,Enfield,https://www.lemonheadprints.co.uk,207012215,E09000010,Upper Edmonton,E05013694,51.611748,-0.07555422,533347.2813999997,192077.73860000074,54
Chickenshed Theatre,290 Chase Side, Southgate,,Enfield,https://www.chickenshed.org.uk/hires,207078080,E09000010,Cockfosters,E05013678,51.644433,-0.14526814,528428.2046999997,195587.60759999976,54
Millfield House and Theatre,Silver St, Edmonton,,Enfield,https://www.millfieldtheatre.co.uk/,207016763,E09000010,Haselbury,E05013682,51.616393,-0.081352332,532932.2877000002,192583.70690000057,54
Dugdale Arts Centre,39 London Road, Enfield,,Enfield,https://www.dugdalecentre.co.uk/,207007119,E09000010,Grange Park,E05013681,51.65033225,-0.082311783,532766.6771999998,196356.1163999997,54
Millfield Theatre,Silver St, Edmonton,,Enfield,https://www.millfieldtheatre.co.uk/,207016763,E09000010,Haselbury,E05013682,51.61670068,-0.079904458,533031.6235999996,192620.55700000003,54
Intimate Theatre,521 Green Lanes, Palmers Green,,Enfield,http://www.smptheatre.co.uk/faqs/the-intimate-theatre/,207035876,E09000010,Winchmore Hill,E05013696,51.62504172,-0.105149434,531259.8663999997,193502.45639999956,54
Chickenshed Theatre,290 Chase Side, Southgate,,Enfield,https://www.chickenshed.org.uk/,207078080,E09000010,Cockfosters,E05013678,51.644931,-0.146851799,528317.2328000003,195640.20659999922,54
